Epoch time,Latitude,Longitude,Radiation (cps)
1682546842.4759426,37.873325,-122.259201,45.0
1682546847.9221568,37.873325,-122.259201,48.8
1682546853.259454,37.873325,-122.2592,48.0
1682546858.5938094,37.873325,-122.2592,41.0
1682546863.91147,37.873325,-122.259201,49.6
1682546869.274509,37.873325,-122.259201,45.6
1682546874.6108696,37.873325,-122.259201,43.2
1682546879.9351456,37.873323,-122.259201,47.6
1682546885.317801,37.873323,-122.259201,47.2
1682546890.6523805,37.873323,-122.259201,41.0
1682546895.9906023,37.873323,-122.259201,48.0
1682546901.3640304,37.873323,-122.259201,47.2
1682546906.707189,37.873323,-122.259201,44.4
1682546912.0681334,37.873321,-122.259201,43.8
1682546917.5779023,37.873323,-122.2592,48.8
1682546922.941841,37.873323,-122.2592,44.0
1682546928.4076183,37.873323,-122.2592,49.4
1682546933.8889215,37.873323,-122.2592,46.4
1682546939.421976,37.873323,-122.2592,45.4
1682546944.8256168,37.873323,-122.259201,45.0
1682546950.271735,37.873321,-122.259201,46.0
1682546955.6455696,37.873321,-122.259201,46.0
1682546961.1523945,37.873321,-122.259201,45.0
1682546966.7248957,37.873313,-122.259208,43.8
1682546972.3343177,37.873305,-122.2592,47.8
1682546977.9533083,37.873305,-122.259198,46.0
1682546983.5918188,37.873305,-122.259198,48.8
1682546989.1287744,37.873305,-122.259196,50.2
1682546994.6774178,37.873305,-122.259193,45.4
1682547000.1659193,37.873301,-122.259188,46.4
1682547005.6738815,37.8733,-122.259183,52.4
1682547011.1832829,37.873298,-122.259178,45.0
1682547016.613642,37.873296,-122.259175,47.4
1682547022.0593731,37.873291,-122.259171,47.8
1682547027.5206885,37.873285,-122.259166,45.8
1682547032.9462488,37.873276,-122.259161,41.6
1682547038.521572,37.873256,-122.259155,48.0
1682547044.025961,37.873245,-122.259153,43.6
1682547049.510414,37.873235,-122.259151,46.2
1682547054.978213,37.873226,-122.259146,48.2
1682547060.4715223,37.873218,-122.259145,50.2
1682547065.9084096,37.873213,-122.259146,46.8
1682547071.4095645,37.87321,-122.259148,48.0
1682547076.9508696,37.873208,-122.259148,53.4
1682547082.4530077,37.873253,-122.259128,54.4
1682547087.9184062,37.87329,-122.259125,45.6
1682547093.50345,37.873303,-122.25912,47.6
1682547098.9986823,37.873308,-122.259118,42.2
1682547104.6420002,37.873311,-122.259115,40.0
1682547110.1155026,37.873316,-122.259111,51.2
1682547115.6593766,37.87332,-122.259108,42.0
1682547121.238,37.873321,-122.259105,43.4
1682547126.7364364,37.873325,-122.259101,52.0
1682547132.253965,37.873328,-122.259098,45.0
1682547137.7956812,37.873333,-122.259095,50.8
1682547143.3634832,37.873345,-122.25909,43.6
1682547148.8797865,37.873343,-122.259086,41.6
1682547154.422026,37.873338,-122.259083,47.4
1682547160.0107527,37.873331,-122.259078,46.0
1682547165.5516777,37.873325,-122.259073,48.4
1682547171.0777688,37.873316,-122.259068,47.4
1682547176.6727076,37.87331,-122.259063,46.0
1682547182.2020023,37.873303,-122.259058,47.4
1682547187.7564037,37.873298,-122.259054,47.0
1682547193.3062513,37.873291,-122.259051,46.8
1682547198.9158478,37.873283,-122.259041,46.0
1682547204.503591,37.87328,-122.259035,47.6
1682547210.0788999,37.873278,-122.259028,47.6
1682547215.6857188,37.873278,-122.259021,46.8
1682547221.2457967,37.873278,-122.259016,47.2
1682547226.8230064,37.87328,-122.259013,46.2
1682547232.4294403,37.873283,-122.25901,52.8
1682547237.9905603,37.873286,-122.259008,42.4
1682547243.6618001,37.873298,-122.259015,46.8
1682547249.2471461,37.873306,-122.259026,46.0
1682547254.88357,37.873326,-122.259086,45.8
1682547260.5084848,37.873335,-122.259141,48.6
1682547266.1463308,37.873363,-122.259173,54.0
1682547271.7673159,37.8734,-122.259176,44.8
1682547277.3856893,37.8734,-122.259156,39.4
1682547282.9913502,37.873408,-122.259176,44.0
1682547288.6241262,37.873414,-122.259189,50.4
1682547294.2968173,37.87341,-122.25921,48.6
1682547299.9372847,37.873411,-122.259216,47.2
1682547305.592618,37.873411,-122.259223,44.0
1682547311.1836472,37.873408,-122.25923,46.4
1682547316.8608248,37.873403,-122.259235,53.4
1682547322.5560775,37.873396,-122.259238,46.6
1682547328.1655726,37.87339,-122.259239,47.6
1682547333.8228104,37.873383,-122.259243,48.6
