Epoch time,Latitude,Longitude,Radiation (cps)
1682549834.8068771,37.868485,-122.2602,31.2
1682549840.165329,37.868435,-122.26005,31.0
1682549845.5015447,37.868366,-122.25989,30.2
1682549850.853493,37.8683,-122.259736,28.0
1682549856.216625,37.868196,-122.259585,33.4
1682549861.5916731,37.86813,-122.259435,29.0
1682549866.9215107,37.868138,-122.259261,26.8
1682549872.281232,37.868138,-122.259261,31.8
1682549877.6352835,37.868138,-122.259261,35.2
1682549882.9949903,37.868138,-122.259261,35.4
1682549888.3699894,37.868138,-122.259261,32.6
1682549893.7333307,37.868138,-122.259261,29.6
1682549899.1085,37.868138,-122.259261,29.6
1682549904.5028014,37.868138,-122.259261,34.4
1682549909.841202,37.868138,-122.259261,31.8
1682549915.2697334,37.868138,-122.259261,28.2
1682549920.6767972,37.868138,-122.259261,32.4
1682549926.0545242,37.868138,-122.259261,29.8
1682549931.487613,37.868138,-122.259261,27.2
1682549936.8640695,37.868138,-122.259261,29.6
1682549942.2692308,37.868138,-122.259261,30.8
1682549947.6629398,37.868138,-122.259261,30.2
1682549953.0393186,37.868138,-122.259261,33.2
1682549958.4511416,37.868138,-122.259261,31.0
1682549963.8319588,37.868138,-122.259261,34.2
1682549969.2807865,37.868138,-122.259261,31.6
1682549974.6881728,37.868138,-122.259261,33.0
1682549980.1004686,37.868138,-122.259261,33.0
1682549985.580403,37.868138,-122.259261,33.2
1682549991.0042183,37.868138,-122.259261,30.6
1682549996.4989471,37.868138,-122.259261,30.8
1682550002.0375454,37.868138,-122.259261,29.8
1682550007.646166,37.868138,-122.259261,28.0
1682550013.1904392,37.868138,-122.259261,32.2
1682550018.7341719,37.868138,-122.259261,35.0
1682550024.2889354,37.868138,-122.259261,33.2
1682550029.8409436,37.868138,-122.259261,28.8
1682550035.3275487,37.868138,-122.259261,31.4
1682550040.8800342,37.868138,-122.259261,30.4
1682550046.4439023,37.868138,-122.259261,33.0
1682550051.9201667,37.868138,-122.259261,28.0
1682550057.479665,37.868138,-122.259261,30.4
1682550063.163833,37.868138,-122.259261,28.0
1682550069.0399218,37.868138,-122.259261,34.8
1682550074.6882455,37.868138,-122.259261,29.2
1682550080.1463137,37.868138,-122.259261,32.2
1682550085.6618142,37.868138,-122.259261,26.8
1682550091.1564229,37.868138,-122.259261,31.4
1682550096.6650364,37.868138,-122.259261,28.2
1682550102.1530383,37.868138,-122.259261,34.2
1682550107.662969,37.868138,-122.259261,28.6
1682550113.1447845,37.868138,-122.259261,29.4
1682550118.6734931,37.868138,-122.259261,30.0
1682550124.281337,37.868138,-122.259261,29.8
1682550129.7972634,37.868138,-122.259261,29.2
1682550135.3157392,37.868138,-122.259261,29.0
1682550140.8521538,37.868138,-122.259261,32.4
1682550146.392188,37.868138,-122.259261,33.0
1682550151.8889735,37.868138,-122.259261,32.2
1682550157.4352052,37.868138,-122.259261,33.4
1682550162.9789786,37.868138,-122.259261,31.4
1682550168.6129267,37.868138,-122.259261,33.0
1682550174.160709,37.868138,-122.259261,30.8
1682550179.7436614,37.868138,-122.259261,32.0
1682550185.2959578,37.868138,-122.259261,31.2
1682550190.8674753,37.868138,-122.259261,32.4
1682550196.4373393,37.868138,-122.259261,27.2
1682550202.0027087,37.868138,-122.259261,28.8
1682550207.5920875,37.868138,-122.259261,27.6
1682550213.1735628,37.868138,-122.259261,35.4
1682550218.7690904,37.868138,-122.259261,30.6
1682550224.3348038,37.868138,-122.259261,31.8
1682550229.928201,37.868138,-122.259261,32.4
1682550235.554975,37.868138,-122.259261,30.8
1682550241.1469285,37.868138,-122.259261,31.4
1682550246.7727966,37.868138,-122.259261,34.4
1682550252.3789096,37.868138,-122.259261,34.4
1682550258.0029368,37.868138,-122.259261,30.4
1682550263.6337256,37.868138,-122.259261,32.0
1682550269.2201571,37.868138,-122.259261,29.2
1682550274.824035,37.868138,-122.259261,27.0
1682550280.4478967,37.868138,-122.259261,30.8
1682550286.0445118,37.868138,-122.259261,30.6
1682550291.7198026,37.868138,-122.259261,26.6
1682550297.3516483,37.868138,-122.259261,33.4
1682550302.9998744,37.868138,-122.259261,38.2
1682550308.6224763,37.868138,-122.259261,29.2
1682550314.2674322,37.868138,-122.259261,33.8
