Epoch time,Latitude,Longitude,Radiation (cps)
1682550395.5323887,37.869178,-122.261308,31.6
1682550400.918252,37.869178,-122.261308,33.0
1682550406.2212193,37.869178,-122.261308,34.4
1682550411.5469987,37.869178,-122.261308,26.2
1682550416.9217722,37.869178,-122.261308,32.6
1682550422.3258672,37.869178,-122.261308,28.8
1682550427.646096,37.869178,-122.261308,29.0
1682550432.9517994,37.869178,-122.261308,32.0
1682550438.2667933,37.869178,-122.261308,30.4
1682550443.6350079,37.869178,-122.261308,30.6
1682550448.97253,37.869011,-122.261708,31.6
1682550454.3237922,37.869031,-122.261613,30.8
1682550459.69306,37.868996,-122.261533,27.2
1682550465.007176,37.86894,-122.261426,33.2
1682550470.3593564,37.868881,-122.261361,32.6
1682550475.7604027,37.868733,-122.261275,28.2
1682550481.1160066,37.868415,-122.261193,27.0
1682550486.4995017,37.868103,-122.261106,28.8
1682550491.8944116,37.867856,-122.261046,28.8
1682550497.2396526,37.867688,-122.261005,28.8
1682550502.6621182,37.868348,-122.261301,35.8
1682550508.127149,37.868693,-122.261473,30.2
1682550513.5136817,37.868821,-122.261543,27.8
1682550518.9156866,37.868915,-122.261561,29.4
1682550524.297718,37.869011,-122.261563,30.0
1682550529.7188084,37.869076,-122.261563,27.2
1682550535.0908606,37.869121,-122.261566,31.8
1682550540.5131629,37.869151,-122.261565,30.0
1682550545.957214,37.869166,-122.261581,30.6
1682550551.3207312,37.869166,-122.261581,30.4
1682550556.7461212,37.869118,-122.261605,32.2
1682550562.1427743,37.869041,-122.261613,30.4
1682550567.5966704,37.86898,-122.261608,29.2
1682550572.9888315,37.868935,-122.261595,29.0
1682550578.4601533,37.868878,-122.26158,30.8
1682550583.8966453,37.868828,-122.261613,32.4
1682550589.324952,37.868763,-122.261595,30.8
1682550594.794793,37.868678,-122.26155,33.2
1682550600.2275574,37.868561,-122.261488,31.0
1682550605.6852996,37.868425,-122.261411,31.8
1682550611.1582525,37.86819,-122.261206,31.2
1682550616.646192,37.868135,-122.261078,31.2
1682550622.0770447,37.868098,-122.260968,31.4
1682550627.5706317,37.868081,-122.260883,29.0
1682550633.0153396,37.86809,-122.260828,25.8
1682550638.4910297,37.86818,-122.260836,33.8
1682550643.9566662,37.868309,-122.26087,28.8
1682550649.4347503,37.868456,-122.260958,32.0
1682550654.9173083,37.868456,-122.260958,26.6
1682550660.3834412,37.868456,-122.260958,30.2
1682550665.9174423,37.868456,-122.260958,25.2
1682550671.4722424,37.868456,-122.260958,29.6
1682550676.9497359,37.868456,-122.260958,34.6
1682550682.4211614,37.868456,-122.260958,30.0
1682550687.8893695,37.868456,-122.260958,29.8
1682550693.3520172,37.868456,-122.260958,32.8
1682550698.859458,37.868456,-122.260958,31.4
1682550704.3430302,37.868456,-122.260958,28.2
1682550709.8535323,37.868456,-122.260958,27.8
1682550715.3563442,37.868456,-122.260958,34.0
1682550720.8993201,37.868456,-122.260958,26.8
1682550726.3958964,37.868456,-122.260958,30.6
1682550731.9351308,37.868456,-122.260958,26.4
1682550737.4748762,37.868456,-122.260958,29.0
1682550743.0077715,37.868456,-122.260958,27.8
1682550748.5844533,37.868456,-122.260958,28.6
1682550754.1158464,37.868456,-122.260958,32.2
1682550759.6647658,37.868456,-122.260958,35.4
1682550765.1732757,37.868456,-122.260958,33.8
1682550770.765731,37.868456,-122.260958,32.6
1682550776.2762604,37.868456,-122.260958,33.8
1682550781.860199,37.868456,-122.260958,31.8
1682550787.384309,37.868456,-122.260958,32.2
1682550792.9227493,37.868456,-122.260958,31.4
1682550798.4906955,37.868456,-122.260958,28.6
1682550804.0942302,37.868456,-122.260958,27.0
1682550809.698642,37.868456,-122.260958,31.8
1682550815.2562034,37.868456,-122.260958,33.8
1682550820.8296018,37.868456,-122.260958,34.6
1682550826.3568244,37.868456,-122.260958,30.2
1682550831.9576507,37.868456,-122.260958,32.6
1682550837.536224,37.868456,-122.260958,31.8
1682550843.1071932,37.868456,-122.260958,28.6
1682550848.7210524,37.868456,-122.260958,33.0
1682550854.3272338,37.868456,-122.260958,31.8
1682550859.9452407,37.868456,-122.260958,40.4
1682550865.5217159,37.868456,-122.260958,30.2
1682550871.1383424,37.868456,-122.260958,30.2
1682550876.7668402,37.868456,-122.260958,29.0
1682550882.3536139,37.868456,-122.260958,28.4
1682550887.9985242,37.868456,-122.260958,31.8
1682550893.6660419,37.868456,-122.260958,29.2
1682550899.3038507,37.868456,-122.260958,29.2
1682550904.9892447,37.868456,-122.260958,30.6
1682550910.6417515,37.868456,-122.260958,27.0
1682550916.4674292,37.868456,-122.260958,34.0
1682550922.1335838,37.868456,-122.260958,31.8
1682550927.8138018,37.868456,-122.260958,32.8
1682550933.4354522,37.868456,-122.260958,30.0
1682550939.0946527,37.868456,-122.260958,33.0
1682550944.7678838,37.868456,-122.260958,31.4
1682550950.3831515,37.868456,-122.260958,34.4
1682550956.0701776,37.868456,-122.260958,30.0
1682550961.7512558,37.868456,-122.260958,32.6
1682550967.4214756,37.868456,-122.260958,33.2
1682550973.139591,37.868456,-122.260958,27.6
1682550978.8824348,37.868456,-122.260958,30.8
